Date,Benchmark_Monthly_Investment,Benchmark_Portfolio_Value,Strategy_Monthly_Cashflow,Strategy_Portfolio_Value,Risk_Level
1950-01-01,-200.0,200.0,-400.0,400.0,0.2663321344325837
1950-02-01,-200.0,403.9092769143703,-400.0,807.8185538287406,0.27261321535380273
1950-03-01,-200.0,605.4786938315013,-400.0,1210.9573876630027,0.27253004406489467
1950-04-01,-200.0,822.5786833131957,-400.0,1645.1573666263914,0.28317598070272654
1950-05-01,-200.0,1046.635069211952,-400.0,2093.270138423904,0.2942347681616937
1950-06-01,-200.0,1259.2121886434436,-400.0,2518.424377286887,0.2977301511228978
1950-07-01,-200.0,1353.2985467885999,-400.0,2706.5970935771998,0.25736759087912253
1950-08-01,-200.0,1623.2431276224904,-400.0,3246.486255244981,0.27727635008613466
1950-09-01,-200.0,1873.5700223646925,-400.0,3747.140044729385,0.28920292559429817
1950-10-01,-200.0,2135.30560433888,-250.0,4120.61120867776,0.30193637606300006
1950-11-01,-200.0,2322.4099489528376,-400.0,4495.725786179454,0.2970898151555656
1950-12-01,-200.0,2485.233298942336,-400.0,4823.759153341295,0.2878735915262352
1951-01-01,-200.0,2826.8868751961745,-250.0,5348.704260244853,0.3114433906496321
1951-02-01,-200.0,3098.024831312555,-250.0,5733.303169130582,0.3209915875622013
1951-03-01,-200.0,3234.0861978492444,-250.0,5864.976302876974,0.3089058384255181
1951-04-01,-200.0,3477.511323030167,-250.0,6193.727243499692,0.31321721747812425
1951-05-01,-200.0,3665.608612307639,-250.0,6422.527558775336,0.3095271309837685
1951-06-01,-200.0,3802.1190473777224,-400.0,6711.287237294221,0.29987014364768755
1951-07-01,-200.0,4069.1337353862964,-250.0,7079.577804932651,0.3062957916938958
1951-08-01,-200.0,4447.209053963473,-250.0,7639.397573706017,0.3255717560390854
1951-09-01,-200.0,4726.985970439412,-250.0,8026.438035435803,0.3328170123766856
1951-10-01,-200.0,4884.760200734756,-250.0,8204.73853682242,0.32761378496534443
1951-11-01,-200.0,4912.929299695338,-250.0,8166.120967558125,0.30923343996556035
1951-12-01,-200.0,5245.262291737295,-250.0,8636.080823499984,0.32135255950871516
1952-01-01,-200.0,5619.974401628088,-250.0,9173.736200474728,0.3366659407395063
1952-02-01,-200.0,5759.716386154342,-250.0,9325.37434000787,0.329988039593902
1952-03-01,-200.0,5974.275730182502,-250.0,9598.94691270154,0.3301814531806383
1952-04-01,-200.0,6134.2436256075025,-250.0,9784.626806972607,0.32563221746071863
1952-05-01,-200.0,6331.683957914781,-250.0,10030.543924933394,0.324369519029042
1952-06-01,-200.0,6680.581834334123,-250.0,10516.425358637387,0.33476096965890917
1952-07-01,-200.0,7020.905387240739,-250.0,10987.31961707114,0.3440568755289318
1952-08-01,-200.0,7248.717895266094,-250.0,11280.844618217327,0.3450966570760504
1952-09-01,-200.0,7333.59020960568,-250.0,11351.676722328004,0.33583133144801497
1952-10-01,-200.0,7379.654000017258,-250.0,11363.39860244895,0.32446279713453524
1952-11-01,-200.0,7814.069825533174,-250.0,11974.35867782013,0.3391499917891226
1952-12-01,-200.0,8329.186917563513,-250.0,12707.247258256572,0.358895462098631
1953-01-01,-200.0,8605.564725714567,-250.0,13073.771440367618,0.3632321973338643
1953-02-01,-200.0,8732.564383164421,-250.0,13212.867644511281,0.3581633644990057
1953-03-01,-200.0,8943.47729046202,-250.0,13479.37949525904,0.35825942321921656
1953-04-01,-200.0,8702.9866337583,-250.0,13065.483279839838,0.3320579501246239
1953-05-01,-200.0,8915.876475278612,-250.0,13334.83433895903,0.3328936053241304
1953-06-01,-200.0,8764.359834195599,-250.0,13059.096214476678,0.31245748031871656
1953-07-01,-200.0,9088.868392671524,-250.0,13494.616808726916,0.31943210678779305
1953-08-01,-200.0,9292.317678589045,-250.0,13749.738105428516,0.3197760407932657
1953-09-01,-200.0,9065.453036987425,-400.0,13518.111289439043,0.2965984684925639
1953-10-01,-200.0,9503.689892029714,-250.0,14123.362406682472,0.30933619383034117
1953-11-01,-200.0,9950.060775779275,-250.0,14739.492332761802,0.32261561308244147
1953-12-01,-200.0,10283.9717114783,-250.0,15187.860890953261,0.32996645214707754
1954-01-01,-200.0,10744.911946984152,-250.0,15823.229900991679,0.3442543559678618
1954-02-01,-200.0,11181.33692903422,-250.0,16421.395326988124,0.3575821335939067
1954-03-01,-200.0,11617.730358645274,-250.0,17018.572948500063,0.37051464161587194
1954-04-01,-200.0,12326.015256570048,-250.0,18013.148984172694,0.39772762379227605
1954-05-01,-200.0,12969.034003280256,-200.0,18860.573356215296,0.4214816994788326
1954-06-01,-200.0,13273.074855773266,-200.0,19211.87761912272,0.4287107544547213
1954-07-01,-200.0,14009.333449527967,-200.0,20188.07564311992,0.45834319694915643
1954-08-01,-200.0,14488.190366041463,-200.0,20789.920923230038,0.4764050883077603
1954-09-01,-200.0,15083.182225581531,-150.0,21506.71700456848,0.501807947664161
1954-10-01,-200.0,15633.243557311169,-150.0,22155.860347342845,0.52317424910624
1954-11-01,-200.0,16445.13848092155,-150.0,23173.05456875056,0.5539894830472958
1954-12-01,-200.0,17461.975923449343,-150.0,24474.07063659668,0.5951760696783234
1955-01-01,-200.0,17976.73757612224,-100.0,25015.22912604709,0.6105135974749153
1955-02-01,-200.0,18777.5080040297,-100.0,25951.221187600022,0.6413937470452657
1955-03-01,-200.0,18829.64018881585,-100.0,25846.862314297014,0.6347775167992042
1955-04-01,-200.0,19679.576760592307,-100.0,26839.01006195871,0.6697558282775511
1955-05-01,-200.0,19796.032003300566,-100.0,26825.07170805737,0.6659145120256523
1955-06-01,-200.0,21143.74910245939,-50.0,28430.3123482203,0.7212827448293145
1955-07-01,-200.0,22805.963208420097,-50.0,30446.43498574257,0.7902838973201906
1955-08-01,-200.0,22867.17817093339,-50.0,30311.15407556059,0.7793883588108127
1955-09-01,-200.0,24007.50060090482,0.0,31557.580628172964,0.82007178923523
1955-10-01,-200.0,23000.134598343804,-50.0,30020.512044611292,0.7543187023836944
1955-11-01,-200.0,24751.63982263782,0.0,32045.586335983036,0.8185976829767341
1955-12-01,-200.0,25275.86272867735,0.0,32465.352993951714,0.8219341096779877
1956-01-01,-200.0,24796.10033681651,-50.0,31642.238345376867,0.7805811838853899
1956-02-01,-200.0,25153.302802744733,-50.0,31892.843998193825,0.779250949203191
1956-03-01,-200.0,27085.951987640598,0.0,34089.73681146889,0.8457173422269905
1956-04-01,-200.0,27503.427294322846,0.0,34363.44607489718,0.8430808875273416
1956-05-01,-200.0,26740.48956957238,-50.0,33210.32843345411,0.7897919952917953
1956-06-01,-200.0,26589.76440523741,-50.0,32824.745611863014,0.7642629231151501
1956-07-01,-200.0,28027.827551842554,0.0,34353.11973430285,0.8034807601074416
1956-08-01,-200.0,28162.845761755027,-50.0,34323.47291860523,0.7889681710455294
1956-09-01,-200.0,27305.288809362093,-50.0,33084.57520839459,0.7362478007348101
1956-10-01,-200.0,27057.767567466533,-50.0,32592.334095758146,0.7084171439729269
1956-11-01,-200.0,26976.990331629844,-100.0,32354.12491223792,0.6881320533253842
1956-12-01,-200.0,27478.62162444803,-100.0,32815.878258527155,0.690824859033817
1957-01-01,-200.0,27080.638611583712,-100.0,32201.747178045174,0.6610018242074532
1957-02-01,-200.0,26019.183685091888,-100.0,30801.743681007487,0.608282969013482
1957-03-01,-200.0,26459.223576820772,-100.0,31185.90506392152,0.6107079180302877
1957-04-01,-200.0,27175.34821441009,-100.0,31894.230319660008,0.6245527403547501
1957-05-01,-200.0,28317.891470384533,-100.0,33100.442150143586,0.6555711478315067
1957-06-01,-200.0,28881.478165787477,-100.0,33625.43425770687,0.6688137843800162
1957-07-01,-200.0,29456.673197674172,-100.0,34162.25732493717,0.6822700409226308
1957-08-01,-200.0,28035.47609020249,-100.0,32382.080551809086,0.6195022670270446
1957-09-01,-200.0,27097.842246423304,-150.0,31218.068596057215,0.5744811016536787
1957-10-01,-200.0,25609.78173021721,-150.0,29423.338513492312,0.5114759592512462
1957-11-01,-200.0,25168.479340260266,-200.0,28886.539679828267,0.4857789195220056
1957-12-01,-200.0,25356.29282416101,-200.0,29072.552888012164,0.4814878151830471
1958-01-01,-200.0,25871.752934383654,-200.0,29634.24735187192,0.48905293795881244
1958-02-01,-200.0,26160.09468193576,-200.0,29935.436521585132,0.48884058285267445
1958-03-01,-200.0,26713.91597293472,-200.0,30540.32017837092,0.49897660446742426
1958-04-01,-200.0,26966.475431221927,-200.0,30800.40806238311,0.4976558640112673
1958-05-01,-200.0,28032.704098599817,-150.0,31939.791954935976,0.5239017409807929
1958-06-01,-200.0,28906.31913184367,-150.0,32857.29279766062,0.5443695885150934
1958-07-01,-200.0,29798.63712070384,-150.0,33794.238197568244,0.5648531420961931
1958-08-01,-200.0,31219.84938649267,-100.0,35279.19879266827,0.6017826705075883
1958-09-01,-200.0,32244.957657984574,-100.0,36311.59146295552,0.6259844755125586
1958-10-01,-200.0,33755.51538922016,-100.0,37887.43266051593,0.6651305742633669
1958-11-01,-200.0,34862.56763850482,-100.0,39005.514612993444,0.6908261206608473
1958-12-01,-200.0,35842.37634550652,-50.0,39927.99308995737,0.7122193515829839
1959-01-01,-200.0,37341.27645128641,-50.0,41424.95279899536,0.7490722611343126
1959-02-01,-200.0,37098.063778969845,-50.0,40983.26998106646,0.7325041661332187
1959-03-01,-200.0,38239.48675143269,-50.0,42073.286303122986,0.757364249649412
1959-04-01,-200.0,38945.28541761143,-50.0,42679.795134745276,0.7685944392011065
1959-05-01,-200.0,39732.24487036149,-50.0,43373.03882720121,0.7810861301123923
1959-06-01,-200.0,39454.209694422636,-50.0,42901.19974374609,0.7625072346053423
1959-07-01,-200.0,41078.75239800766,-50.0,44500.200257083874,0.7981075255842542
1959-08-01,-200.0,41045.18986431271,-50.0,44297.18430807757,0.786080772819507
1959-09-01,-200.0,39486.786295765494,-50.0,42449.46310806816,0.7315317738691334
1959-10-01,-200.0,39518.10438604182,-50.0,42318.125066269065,0.7226765074085427
1959-11-01,-200.0,39877.44644108053,-50.0,42538.75716308154,0.7229327312772691
1959-12-01,-200.0,41352.8431490448,-50.0,43949.27032750509,0.7530282071056547
1960-01-01,-200.0,40970.299945117746,-50.0,43380.150895872204,0.733066637109022
1960-02-01,-200.0,39447.733574947415,-100.0,41656.2641006512,0.6833063229504623
1960-03-01,-200.0,39110.061128857895,-100.0,41188.48939259618,0.6660097691376609
1960-04-01,-200.0,39680.5898793602,-100.0,41678.709174136115,0.6724470584788049
1960-05-01,-200.0,39517.379315704056,-100.0,41397.20911333503,0.6603525416384174
1960-06-01,-200.0,41038.98222556406,-100.0,42881.680274420476,0.6914393121635763
1960-07-01,-200.0,40221.36618499095,-100.0,41918.37208967714,0.663418662132072
1960-08-01,-200.0,40904.04924678331,-100.0,42521.4203474747,0.673515384530942
1960-09-01,-200.0,39873.32335713905,-100.0,41342.0308041473,0.6409703372883817
1960-10-01,-200.0,39024.929070581726,-100.0,40355.01960867881,0.6142493771252107
1960-11-01,-200.0,40489.21223922284,-100.0,41762.39346627528,0.6454688057617011
1960-12-01,-200.0,41659.81608725017,-100.0,42863.51790311802,0.6687463541768203
1961-01-01,-200.0,44001.75462580225,-50.0,45117.34474436767,0.721151314111049
1961-02-01,-200.0,46006.75412511155,-50.0,47018.10695524539,0.7647153399052645
1961-03-01,-200.0,47649.3352820667,-50.0,48542.3999458982,0.7992894085408438
1961-04-01,-200.0,49120.72286494527,0.0,49837.61643043052,0.8291653286653787
1961-05-01,-200.0,49820.649254831405,0.0,50344.83900797885,0.8392025504147361
1961-06-01,-200.0,49360.93491943148,0.0,49678.18346446957,0.8217112293818551
1961-07-01,-200.0,49097.60663227238,0.0,49211.87731181387,0.8105586848150025
1961-08-01,-200.0,51230.993369737815,0.0,51149.76384940117,0.8547395867534704
1961-09-01,-200.0,50860.78660547861,0.0,50580.461178912294,0.8406247240288369
1961-10-01,-200.0,51620.475870764356,0.0,51137.065648572425,0.852684807207221
1961-11-01,-200.0,54158.38038301079,5345.307638861581,48107.76874975421,0.9062796183781491
1961-12-01,-200.0,54861.574214287124,5394.971713214018,43159.77370571213,0.915507569892796
1962-01-01,-200.0,53019.195635822594,0.0,41553.02802751451,0.8678075605182501
